# IPTV 直播源汇总
# 更新时间: 2026-02-26 09:03:57（北京时间）
# 有效源总数: 1659

更新时间,#genre#
2026-02-26 09:03:57,http://logo.mp4

央视频道,#genre#
风云音乐,http://49.74.72.204:8888/rtp/239.49.8.92:8000$江苏电信(237ms)
风云音乐,http://14.118.74.55:10001/rtp/239.253.43.6:5146$广东电信(246ms)
风云音乐,http://14.118.74.55:10001/rtp/239.253.43.29:5146$广东电信(246ms)
风云足球,http://171.113.174.156:8686/rtp/239.69.1.81:10126$湖北电信(248ms)
风云足球,http://27.17.212.242:8888/rtp/239.69.1.81:10126$湖北电信(253ms)
风云足球,http://49.71.69.165:4000/rtp/239.49.8.85:8000$江苏电信(252ms)
风云足球,http://27.18.30.81:8888/rtp/239.69.1.81:10126$湖北电信(237ms)
风云剧场,http://49.71.69.165:4000/rtp/239.49.8.89:8000$江苏电信(252ms)
风云剧场,http://49.74.72.204:8888/rtp/239.49.8.89:8000$江苏电信(237ms)
风云剧场,http://14.118.74.55:10001/rtp/239.253.43.16:5146$广东电信(246ms)
风云剧场,http://14.118.74.55:10001/rtp/239.253.43.26:5146$广东电信(246ms)
怀旧剧场,http://49.71.69.165:4000/rtp/239.49.8.91:8000$江苏电信(252ms)
怀旧剧场,http://49.74.72.204:8888/rtp/239.49.8.91:8000$江苏电信(237ms)
怀旧剧场,http://14.118.74.55:10001/rtp/239.253.43.5:5146$广东电信(246ms)
怀旧剧场,http://14.118.74.55:10001/rtp/239.253.43.25:5146$广东电信(246ms)
第一剧场,http://171.113.174.156:8686/rtp/239.69.1.74:10084$湖北电信(248ms)
第一剧场,http://27.17.212.242:8888/rtp/239.69.1.74:10084$湖北电信(253ms)
第一剧场,http://49.71.69.165:4000/rtp/239.49.8.94:8000$江苏电信(252ms)
第一剧场,http://27.18.30.81:8888/rtp/239.69.1.74:10084$湖北电信(237ms)
女性时尚,http://49.71.69.165:4000/rtp/239.49.8.93:8000$江苏电信(252ms)
女性时尚,http://49.74.72.204:8888/rtp/239.49.8.93:8000$江苏电信(237ms)
女性时尚,http://14.118.74.55:10001/rtp/239.253.43.8:5146$广东电信(246ms)
女性时尚,http://14.118.74.55:10001/rtp/239.253.43.23:5146$广东电信(246ms)
世界地理,http://171.113.174.156:8686/rtp/239.69.1.91:10186$湖北电信(248ms)
世界地理,http://27.17.212.242:8888/rtp/239.69.1.91:10186$湖北电信(253ms)
世界地理,http://49.71.69.165:4000/rtp/239.49.8.87:8000$江苏电信(252ms)
世界地理,http://27.18.30.81:8888/rtp/239.69.1.91:10186$湖北电信(237ms)
央视台球,http://171.113.174.156:8686/rtp/239.69.1.98:10224$湖北电信(248ms)
央视台球,http://27.17.212.242:8888/rtp/239.69.1.98:10224$湖北电信(253ms)
央视台球,http://49.71.69.165:4000/rtp/239.49.8.32:8000$江苏电信(252ms)
央视台球,http://27.18.30.81:8888/rtp/239.69.1.98:10224$湖北电信(237ms)
高尔夫网球,http://171.113.174.156:8686/rtp/239.69.1.83:10138$湖北电信(248ms)
高尔夫网球,http://27.17.212.242:8888/rtp/239.69.1.83:10138$湖北电信(253ms)
高尔夫网球,http://49.71.69.165:4000/rtp/239.49.8.86:8000$江苏电信(252ms)
高尔夫网球,http://27.18.30.81:8888/rtp/239.69.1.83:10138$湖北电信(237ms)
央视文化精品,http://49.71.69.165:4000/rtp/239.49.8.90:8000$江苏电信(252ms)
央视文化精品,http://49.74.72.204:8888/rtp/239.49.8.90:8000$江苏电信(237ms)
央视文化精品,http://14.118.74.55:10001/rtp/239.253.43.13:5146$广东电信(246ms)
央视文化精品,http://14.118.74.55:10001/rtp/239.253.43.27:5146$广东电信(246ms)
卫生健康,http://14.118.74.55:10001/rtp/239.77.0.212:5146$广东电信(246ms)
电视指南,http://49.71.69.165:4000/rtp/239.49.8.84:8000$江苏电信(252ms)
电视指南,http://49.74.72.204:8888/rtp/239.49.8.84:8000$江苏电信(237ms)
电视指南,http://14.118.74.55:10001/rtp/239.253.43.10:5146$广东电信(246ms)
电视指南,http://14.118.74.55:10001/rtp/239.253.43.19:5146$广东电信(246ms)
中学生,http://14.118.74.55:10001/rtp/239.77.1.195:5146$广东电信(246ms)
发现之旅,http://14.118.74.55:10001/rtp/239.77.1.112:5146$广东电信(246ms)
发现之旅,http://14.118.74.55:10001/rtp/239.253.43.127:5146$广东电信(246ms)
书法频道,http://14.118.74.55:10001/rtp/239.77.1.115:5146$广东电信(246ms)
国学频道,http://171.8.169.205:8800/rtp/239.16.20.232:12320$河南电信(267ms)
国学频道,http://14.118.74.55:10001/rtp/239.77.0.226:5146$广东电信(246ms)
国学频道,http://14.118.74.55:10001/rtp/239.77.1.105:5146$广东电信(246ms)
环球奇观,http://14.118.74.55:10001/rtp/239.77.1.198:5146$广东电信(246ms)
环球奇观,http://14.118.74.55:10001/rtp/239.253.43.126:5146$广东电信(246ms)

卫视频道,#genre#
湖南卫视,http://144.0.57.58:7004/rtp/239.21.1.158:5002$山东电信(258ms)
湖南卫视,http://171.113.174.156:8686/rtp/239.254.96.139:8908$湖北电信(248ms)
湖南卫视,http://27.17.212.242:8888/rtp/239.254.96.139:8908$湖北电信(253ms)
湖南卫视,http://123.112.240.132:5555/rtp/239.3.1.132:8012$北京市联通(242ms)
浙江卫视,http://144.0.57.58:7004/rtp/239.21.1.90:5002$山东电信(258ms)
浙江卫视,http://171.113.174.156:8686/rtp/239.254.96.143:8932$湖北电信(248ms)
浙江卫视,http://27.17.212.242:8888/rtp/239.254.96.143:8932$湖北电信(253ms)
浙江卫视,http://123.112.240.132:5555/rtp/239.3.1.137:8036$北京市联通(242ms)
江苏卫视,http://144.0.57.58:7004/rtp/239.21.1.89:5002$山东电信(258ms)
江苏卫视,http://171.113.174.156:8686/rtp/239.254.96.144:8938$湖北电信(248ms)
江苏卫视,http://27.17.212.242:8888/rtp/239.254.96.144:8938$湖北电信(253ms)
江苏卫视,http://123.112.240.132:5555/rtp/239.3.1.135:8028$北京市联通(242ms)
东方卫视,http://144.0.57.58:7004/rtp/239.21.1.111:5002$山东电信(258ms)
东方卫视,http://171.113.174.156:8686/rtp/239.254.96.142:8926$湖北电信(248ms)
东方卫视,http://27.17.212.242:8888/rtp/239.254.96.142:8926$湖北电信(253ms)
